Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
1884,Tiger Woods,hybrid,2.95,"Relaxed,Giggly,Hungry,Creative,Energetic","Tiger Woods is a sativa-dominant hybrid named after the famous American golfer of the same name. This strain has been known to yield a lower-than-average THC percentage of between 10-15%. Coupled with Tiger Woods’ happy and slightly stimulating effects, this herb is ideal for beginners looking for a heady entry point. The buds are dense and small but can pack a punch. Some have experienced paranoia when smoking this flower in large doses.","Sweet,Flowery,Pungent","1884,245,684,477,243,576"
1885,Devils Tit,sativa,2.95,"Energetic,Focused,Relaxed,Talkative,Tingly","Devil’s Tit from SnowHigh Seeds is a potent heart-pounding speed demon that will put even the most seasoned sativa enthusiast to the test. A sativa cross between Durban Poison, Acapulco Gold, and Cinderella 99, this strain provides an exhilarating body high that makes for an excellent one-hitter-quitter or a welcome challenge for sativa lovers looking to test their boundaries. Avoid this strain if you suffer from anxiety, as the effects will naturally get your heart racing.","Spicy/Herbal,Pepper,Earthy","1885,992,479,1959,1542,1793"
1886,Guava Kush,hybrid,2.95,"Relaxed,Sleepy,Happy,Uplifted,Euphoric",Guava Kush is a hybrid strain that competed in the 2014 L.A. Cannabis Cup.,"Sweet,Tropical,Peach","1886,1997,1001,1087,1644,1245"
1887,Orange Skunk,hybrid,2.95,"Happy,Relaxed,Uplifted,Hungry,Tingly","Orange Skunk is a clear-headed hybrid cross between Californian Orange and Skunk. With a smell that is as sweet as it is sour, Orange Skunk delivers strong physical sensations that creep into a steady cerebral invigoration. Its medical uses are diverse, but patients treating stress, anxiety, inflammation and headaches may benefit the most from this California hybrid. Novice growers delight in the simplicity of raising Orange Skunk plants, which flower in 8 to 10 weeks in indoor gardens.","Citrus,Orange,Earthy","1887,184,1512,1054,234,1781"
1888,Pink Pez,hybrid,2.95,"Happy,Sleepy,Creative,Relaxed,Hungry","This indica-dominant hybrid is appropriately named after its parents, Pez and Sour Pink Grapefruit. Its aroma also appropriately follows suit, emitting a pleasant, sweet aroma reminiscent of a juicy grapefruit. Atypical of most strains, Pink Pez’s taste contrasts the smell, rendering spicy, floral undertones on the palate. The strain onsets with a hard-hitting head rush before mellowing out into a heavy-lidded physical effect, making this flower appropriate for day and nighttime use depending upon dosage and tolerance.","Citrus,Sweet,Grapefruit","1888,2098,2053,1191,1685,1230"
1889,Pink Starburst,hybrid,2.95,"Euphoric,Happy,Talkative,Uplifted,Creative","Pink Starburst by Manali West is an ultra potent hybrid that smells like it sounds. This deep cross of (DJ Short’s Blueberry x Headband) x AJ Sour Diesel BX3 is a genetic layer cake of potency crossed for potency. The flavor is distinctly floral on the inhale, but reveals its candy-like sweetness on the exhale. Pink Starburst’s buzz combines tranquil, positivity-driven euphoria while remaining cognitively clear.","Sweet,Diesel,Berry","1889,501,1336,1443,1392,1268"
1890,Edelweiss,indica,2.95,"Happy,Relaxed,Hungry,Sleepy,Creative","Edelweiss (literally ‘noble white’) was named after the famous white flower that grows in the high Swiss Alps. Both plants share qualities such as the star-shaped leaflets around the flower tops and the thick white coating on the leaves. Made from a blend of Hindu Kush, North Indian and Skunk, this is a mostly indica hybrid with just enough sativa background to perk up the powerful stone.","Sweet,Lime,Earthy","1890,2051,1413,645,1227,2041"
1891,Blue Persuasion,hybrid,2.95,"Relaxed,Tingly,Euphoric,Happy,Hungry","Blue Persuasion is the first of a Signature Series by BUDS Pasco, an indoor hydroponic farm in Washington. It is an indica-dominant hybrid strain composed of Blueberry, Northern Lights, and White Widow genetics. From Blueberry, Blue Persuasion inherits sweet berry flavors, relaxing and long-lasting euphoria, and a high THC potential. Its Northern Lights parent is cherished for its resinous buds, fast flowering, and resilience during growth, while White Widow contributes a tendency for heavy resin production and balanced hybrid effects. With a THC content that can stretch to 26%, Blue Persuasion is best saved for late night relaxation and introspection.","Sweet,Blueberry,Berry","1891,953,468,1195,1413,1404"
1892,Heavy Duty Fruity,hybrid,2.95,"Relaxed,Happy,Sleepy,Hungry,Giggly","Heavy Duty Fruity seems to have everything going for it: high yields, yummy flavor, and potency. T. H. Seeds bred this West Coast native from local (and locally named) favorites Killing Garberville, Seattle Big Bud, and Mendocino Hash Plant to create a multi-skilled strain. Growers should be aware that plants do not always have classic seven-point leaves, but her unique beauty does not affect her output. Heavy Duty Fruity also gives off a heavy duty sweet smell, so it may require management for indoor growers. What is not a concern is yield and bud size, both of which are consistently large with this strain, both indoors and out. Plants usually flower between 8 and 9 weeks. Depending on when this plant is harvested, her effects range from psychedelic and spacey to mellow relaxation.","Sweet,Citrus,Earthy","1892,2041,1548,1978,861,1812"
1893,Toxic Punch,hybrid,2.95,"Happy,Hungry,Relaxed,Energetic,Uplifted",Toxic Punch is a sativa-dominant concoction that crosses a hybrid of White Widow and Casey Jones with Blueberry. The fruity aromas of Toxic Punch are mixed with hints of berry and skunk that turn into a piney flavor on exhale. This hybrid gives consumers an energetic burst of heady effects that calms stress and won’t overcloud your thoughts.,"Pine,Berry,Citrus","1893,1798,55,577,539,1266"
1894,Bubble Gum,hybrid,2.95,"Happy,Relaxed,Euphoric,Uplifted,Hungry","Originally Bubble Gum was developed by growers in Indiana. From there the genetics moved to New England and eventually Holland. It took many generations to finally produce a stable Bubble Gum with the characteristic sweet smell and euphoric high. Bubble Gum was the winner of two awards in the Cannabis Cup of '94, and the 2nd place winner in '95 and again in '99.","Sweet,Flowery,Berry","1894,1650,731,2090,1146,667"
1895,Jack Haze,hybrid,2.95,"Happy,Energetic,Euphoric,Uplifted,Giggly","A cross between Jack Herer and Super Silver Haze, this is one giggly hybrid. Sativa-dominant, Jack Haze provides patients with an intense psychoactive sensation. Like drinking a strong cup of coffee, this strain’s energizing and uplifting effects make it great for daytime use. Patients who suffer from depression or stress tend to really enjoy this strain. Jack Haze is quite potent, so it should be used with caution by novice patients.","Earthy,Woody,Spicy/Herbal","1895,1354,815,619,2122,1922"
1896,Dawgfather Og,hybrid,2.95,"Sleepy,Relaxed","Dawgfather OG, or simply “The Dawgfather,” is an indica-dominant hybrid created by AlphaKronik Genes capable of massive plant production and a healthier-than-average yield. With potency floating above 20%, this strain contends well with chronic pain, insomnia, Crohn's, and anxiety. Expect traditional notes of gas/chemicals, Kush, and some funkiness. Dawgfather OG offers a strong buzz with nuance worth exploring.","Spicy/Herbal,Pepper,Pungent","1896,1793,290,1192,59,131"
1897,Orange Dream,hybrid,2.95,"Happy,Euphoric,Creative,Uplifted,Relaxed","Orange Dream is a sativa-dominant hybrid that crosses Orange Crush with Blue Dream, each of which bring a unique dimension to this strain. Inviting aromas of citrus and vanilla combine to create a distinct flavor profile that can only be compared to orange creamsicles. Mellow euphoria lightly settles in, easing you into a relaxed but alert state of mind that lets creativity roam free. Depression and stress sink away while your mood is lifted to new heights, and its lightweight effects make Orange Dream the perfect choice for any time of the day.","Tropical,Orange,Citrus","1897,1781,1345,1133,184,1266"
1898,Purple Maui,hybrid,2.95,"Happy,Energetic,Uplifted,Relaxed,Focused","Purple Maui is a sativa-dominant hybrid bred by Happy Harvest. These purple buds have a soft, piney aroma, with fast-acting, potent effects useful in treating both mental and physical ailments.","Grape,Pine,Earthy","1898,435,778,1873,1259,1815"
1899,Orange Kush,indica,2.95,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Orange Kush was bred by Green Devil Genetics and is the child of Orange Bud and OG Kush. It eases the body into relaxation while lifting moods with a sweet and tangy citrus flavor. This strain is resistant to most pests and mold and has long, dense buds with many orange hairs and trichome crystals.","Orange,Citrus,Sweet","1899,1186,184,1634,694,1781"
1900,Ogre,hybrid,2.95,"Relaxed,Happy,Euphoric,Uplifted,Aroused","There are several cannabis strains out there with the moniker of “Ogre.” The best known and most sought after is a sativa/Skunk-leaning phenotype of the multiple award-winning indica Sensi Star. While most phenotypes of Sensi Star are fairly compact indica plants, the Ogre is named for its much larger size and huge yields. Giant, frosty colas produce very high levels of THC and a pungent lemon-skunk aroma.","Skunk,Pungent,Earthy","1900,1767,747,679,1643,1704"
1901,Sweet Diesel,sativa,2.95,"Happy,Euphoric,Relaxed,Giggly,Energetic","Sweet Diesel is an earthy cross between Sour Diesel and OG Kush. Though this sativa is a member of the diesel family, its aroma is much lighter than typical diesels. Featuring a moderate fuel scent and earthy taste, Sweet Diesel is an easy strain for novice consumers. Like a true sativa, this strain provides a strong head-heavy sensation. Felt most in the face and eyes, this strain is great for easing stress and improving focus.","Woody,Sweet,Diesel","1901,1851,1762,1470,370,1495"
1902,Alien Hallucination,hybrid,2.95,"Happy,Relaxed,Giggly,Aroused,Hungry","Alien Hallucination is a hybrid cannabis strain that is believed to be a cross between the sedating Tahoe Alien and LSD, a classic Amsterdam hybrid known for its trippy head buzz. Bred by Alien Genetics, this strain will abduct the mind while your body remains anchored in deep physical relaxation.","Sweet,Earthy,Diesel","1902,976,1944,776,434,785"
1903,Haole,hybrid,2.95,"Euphoric,Relaxed,Happy,Uplifted,Creative","Haole is a Hawaiian term for a foreigner or anything that is not native to the Hawaiian Islands, which makes it the perfect name for this hybrid. Breeder Reserva Privada has taken the renowned sativa Maui Wowie and crossed it with the mainland’s LA Confidential to create Haole, a pleasant, calming strain that is well-suited to relieve stress and relax body pains. Though its genetics are balanced between indica and sativa, this cross tends to express itself with more emphasis on its indica traits. The aroma is sweet and earthy and is reminiscent of Grandma’s spice cake.Reserva Prevada chose a Maui Wowie mother due to its ease of growth and the consistent end product and then decided to influence the genetics with the manageable height, increased potency, and reduced flowering time of LA Confidential. The result is a beginner-friendly strain that is easy to grow and enjoyable for consumers of all experience levels.","Sweet,Pungent,Earthy","1903,1820,490,1138,629,926"
1904,Aspen Og,hybrid,2.95,"Focused,Happy,Energetic,Relaxed,Talkative","Aspen OG by 303 Seeds is a testament to how rich the Rocky’s cannabis heritage really is. This Sour Cream and SFV OG cross “is sweet like Aspen in the summer and coated white like Aspen in the winter,” topped with glistening trichomes that shimmer like snow. Aspen OG combines physical elements from each parent to easily curb moderate pain and stimulate the appetite. Expect earthy flavors with a sweet berry undertone.","Blueberry,Spicy/Herbal,Earthy","1904,1437,197,970,1077,624"
